Cast,File CTD,CTD,Date,Time,Station,Lat,Lon,Depth (m),Secchi (m)
0,,Pandy,3/17/2022,7:18,B7,30.24975,-88.04922,3.8,1.2
1,,Pandy,3/17/2022,7:24,B7C,30.25025,-88.0399,16,1.2
2,,Pandy,3/17/2022,7:40,B8,30.24959,-87.99965,4.8,1
3,,Pandy,3/17/2022,7:48,B9,30.26014,-87.94929,0.8,0.8
4,,Pandy,3/17/2022,8:00,B10,30.26574,-87.89882,3.2,1.2
5,,Pandy,3/17/2022,8:09,B11,30.25177,-87.85144,2.7,0.9
6,,Pandy,3/17/2022,8:24,B12,30.26445,-87.79871,2.1,0.8
7,,Pandy,3/17/2022,8:33,BSR,30.28545,-87.75978,1.4,0.8
8,,Pandy,3/17/2022,8:45,C12,30.30036,-87.80045,2.3,0.9
9,,Pandy,3/17/2022,8:53,C11,30.30015,-87.4994,2.7,1
10,,Pandy,3/17/2022,9:00,D11,30.35066,-87.85029,2.5,0.8
11,,Pandy,3/17/2022,9:08,WB,30.36499,-87.84857,1.7,0.6
12,,Pandy,3/17/2022,9:22,D10,30.35013,-87.89936,3.3,1
13,,Pandy,3/17/2022,9:31,C10,30.29959,-87.90103,3,1.2
14,,Pandy,3/17/2022,9:39,C9,30.30012,-87.95122,3.3,1.1
15,,Pandy,3/17/2022,9:50,D9,30.34971,-87.95027,3.7,1
16,,Pandy,3/17/2022,9:59,D8,30.35035,-88.00007,3.8,1
17,,Pandy,3/17/2022,10:04,D7C,30.35036,-88.02584,20,0.6
18,,Pandy,3/17/2022,10:10,D7,30.35036,-88.05074,3.9,0.6
19,,Pandy,3/17/2022,10:21,C8,30.29985,-87.99987,3.9,1
20,,Pandy,3/17/2022,10:27,C7C,30.30069,-88.03308,15.6,1
21,,Pandy,3/17/2022,10:38,C7,30.29984,-88.05107,5,1
22,,Pandy,3/17/2022,10:46,C6,30.29997,-88.10024,3.7,0.8
23,,Pandy,3/17/2022,10:53,D6,30.35027,-88.10049,3.5,1
24,,Pandy,3/17/2022,11:03,C51,30.30121,-88.1301,2.9,0.7
25,,Pandy,3/17/2022,11:18,C4,30.30061,-88.19987,2.4,1
26,,Pandy,3/17/2022,11:31,C3,30.30042,-88.25034,3.1,0.8
27,,Pandy,3/17/2022,11:39,D3,30.35007,-88.25017,1.7,0.8
28,,Pandy,3/17/2022,11:46,WFR,30.3555,-88.1994,1.2,0.6
29,,Pandy,3/17/2022,12:00,BLB,30.37479,-88.27062,2.4,0.8
30,,Pandy,3/17/2022,12:12,D2,30.3506,-88.29929,3.2,1.2
31,,Pandy,3/17/2022,12:22,E1,30.40015,-88.35019,1.9,1
32,,Pandy,3/17/2022,12:34,D1,30.3505,88.34991,3.8,1.4
33,,Pandy,3/17/2022,12:48,C2,30.29996,-88.3001,4.4,1.4
34,,Pandy,3/17/2022,12:56,C1,30.30012,-88.35053,5.5,1.4
35,,Pandy,3/17/2022,13:09,B1,30.24973,-88.34987,5.6,1.2
36,,Pandy,3/17/2022,13:22,B2,30.2504,-88.30006,4.5,1.2
37,,Pandy,3/17/2022,13:31,B3,30.25034,-88.24932,4.8,1.2
38,,Pandy,3/17/2022,13:40,B4,30.25428,-88.19967,4.6,1
